Date;hour;Spot DE.AT_price;day
20150115;6;15.47;5
20150115;7;27.69;5
20150115;8;33.89;5
20150115;9;34.79;5
20150115;10;30.9;5
20150115;11;29.97;5
20150115;12;29.42;5
20150115;13;27.02;5
20150115;14;26.18;5
20150115;15;26.53;5
20150115;16;28.21;5
20150115;17;29.37;5
20150115;18;32.54;5
20150115;19;32.67;5
20150115;20;30.49;5
20150115;21;28.32;5
20150115;22;22.05;5
20150115;23;19.01;5
20150115;24;12.01;5
20150116;1;9.78;6
20150116;2;11.64;6
20150116;3;9.72;6
20150116;4;10.56;6
20150116;5;14.11;6
20150116;6;16.02;6
20150116;7;24.71;6
20150116;8;34.04;6
20150116;9;37.71;6
20150116;10;36.92;6
20150116;11;37.99;6
20150116;12;39.97;6
20150116;13;39.95;6
20150116;14;40.02;6
20150116;15;41.83;6
20150116;16;44.05;6
20150116;17;47.1;6
20150116;18;52.49;6
20150116;19;53.54;6
20150116;20;48.02;6
20150116;21;41.51;6
20150116;22;37.92;6
20150116;23;35.64;6
20150116;24;28.79;6
20150117;1;29.03;7
20150117;2;27.47;7
20150117;3;28.06;7
20150117;4;27.92;7
20150117;5;27.05;7
20150117;6;27.24;7
20150117;7;27.34;7
20150117;8;27.74;7
20150117;9;29.73;7
20150117;10;35.05;7
20150117;11;38.81;7
20150117;12;38.89;7
20150117;13;34.99;7
20150117;14;31.96;7
20150117;15;30.07;7
20150117;16;31.27;7
20150117;17;33.84;7
20150117;18;42.44;7
20150117;19;44.9;7
20150117;20;34.24;7
20150117;21;28.95;7
20150117;22;27.02;7
20150117;23;27.46;7
20150117;24;24.5;7
20150118;1;23.35;1
20150118;2;21.19;1
20150118;3;22.24;1
20150118;4;22.31;1
20150118;5;22.32;1
20150118;6;22.11;1
20150118;7;14.12;1
20150118;8;15.17;1
20150118;9;19.07;1
20150118;10;24.94;1
20150118;11;27.2;1
20150118;12;28.22;1
20150118;13;28.15;1
20150118;14;27.85;1
20150118;15;28.17;1
20150118;16;29.91;1
20150118;17;30.44;1
20150118;18;38.42;1
20150118;19;42.46;1
20150118;20;39.8;1
20150118;21;30.54;1
20150118;22;30.4;1
20150118;23;31;1
20150118;24;28.42;1
20150119;1;27.92;2
20150119;2;27.76;2
20150119;3;28.25;2
20150119;4;28.41;2
20150119;5;28.07;2
20150119;6;29.63;2
20150119;7;42.87;2
20150119;8;52.07;2
20150119;9;56.49;2
20150119;10;52.38;2
20150119;11;48.84;2
20150119;12;47.95;2
20150119;13;44.97;2
20150119;14;47.95;2
20150119;15;47.72;2
20150119;16;47.43;2
20150119;17;48.19;2
20150119;18;52.16;2
20150119;19;56.26;2
20150119;20;52.96;2
20150119;21;45;2
20150119;22;40;2
20150119;23;37.53;2
20150119;24;31.07;2
20150120;1;31.93;3
20150120;2;31.08;3
20150120;3;29.92;3
20150120;4;29.97;3
20150120;5;31.02;3
20150120;6;34.81;3
20150120;7;39.4;3
20150120;8;53.39;3
20150120;9;58.88;3
20150120;10;58.8;3
20150120;11;57.34;3
20150120;12;57.46;3
20150120;13;53.53;3
20150120;14;52.93;3
20150120;15;52.38;3
20150120;16;52.1;3
20150120;17;51.04;3
20150120;18;58.55;3
20150120;19;66.65;3
20150120;20;56.02;3
20150120;21;50.01;3
20150120;22;42.73;3
20150120;23;42.02;3
20150120;24;36.93;3
20150121;1;31.08;4
20150121;2;32.07;4
20150121;3;31.53;4
20150121;4;31.2;4
20150121;5;33.27;4
20150121;6;35.07;4
20150121;7;43.71;4
20150121;8;54.12;4
20150121;9;58.39;4
20150121;10;56.6;4
20150121;11;54.96;4
20150121;12;53.99;4
20150121;13;48.49;4
20150121;14;49.59;4
20150121;15;48;4
20150121;16;50;4
20150121;17;51.02;4
20150121;18;55.47;4
20150121;19;57.1;4
20150121;20;51.95;4
20150121;21;43.22;4
20150121;22;38.98;4
20150121;23;38.38;4
20150121;24;31.51;4
20150122;1;29.67;5
20150122;2;29.93;5
20150122;3;29;5
20150122;4;28.96;5
20150122;5;29.38;5
20150122;6;31.09;5
20150122;7;36.92;5
20150122;8;48.42;5
20150122;9;53.79;5
20150122;10;50.52;5
20150122;11;50.53;5
20150122;12;49.89;5
20150122;13;52.44;5
20150122;14;54.01;5
20150122;15;51.54;5
20150122;16;49.99;5
20150122;17;51.99;5
20150122;18;59.2;5
20150122;19;56.99;5
20150122;20;53.81;5
20150122;21;45.57;5
20150122;22;39.86;5
20150122;23;37.26;5
20150122;24;30.96;5
20150123;1;31.18;6
20150123;2;29.97;6
20150123;3;28.86;6
20150123;4;28.78;6
20150123;5;29.39;6
20150123;6;32.49;6
20150123;7;37.52;6
20150123;8;54.28;6
20150123;9;53.56;6
20150123;10;57.68;6
20150123;11;56.97;6
20150123;12;55.75;6
20150123;13;49.94;6
20150123;14;47.77;6
20150123;15;46.58;6
20150123;16;44.09;6
20150123;17;45.18;6
20150123;18;49.98;6
20150123;19;47.99;6
20150123;20;46.98;6
20150123;21;41.48;6
20150123;22;35.12;6
20150123;23;34.21;6
20150123;24;31.14;6
20150124;1;28.5;7
20150124;2;27.04;7
20150124;3;24.44;7
20150124;4;24.29;7
20150124;5;25.93;7
20150124;6;24.99;7
20150124;7;23.94;7
20150124;8;24.26;7
20150124;9;27.6;7
20150124;10;29.53;7
20150124;11;30.26;7
20150124;12;37.81;7
20150124;13;37.27;7
20150124;14;34.37;7
20150124;15;30.07;7
20150124;16;30.25;7
20150124;17;34.52;7
20150124;18;36.09;7
20150124;19;37.86;7
20150124;20;34.56;7
20150124;21;30.04;7
20150124;22;27.97;7
20150124;23;28.11;7
20150124;24;24.99;7
20150125;1;23.26;1
20150125;2;22.13;1
20150125;3;19.04;1
20150125;4;19.91;1
20150125;5;21.49;1
20150125;6;21.75;1
20150125;7;19.82;1
20150125;8;22.35;1
20150125;9;24.64;1
20150125;10;28.03;1
20150125;11;29.94;1
20150125;12;36.65;1
20150125;13;31.99;1
20150125;14;29.25;1
20150125;15;29.13;1
20150125;16;29.26;1
20150125;17;30.29;1
20150125;18;36.5;1
20150125;19;40.96;1
20150125;20;39.03;1
20150125;21;34.92;1
20150125;22;30.2;1
20150125;23;29.99;1
20150125;24;28.07;1
20150126;1;26.93;2
20150126;2;26.13;2
20150126;3;25.54;2
20150126;4;25.41;2
20150126;5;25.8;2
20150126;6;27.1;2
20150126;7;41.94;2
20150126;8;55.16;2
20150126;9;53.22;2
20150126;10;47.28;2
20150126;11;45.28;2
20150126;12;47.43;2
20150126;13;46.22;2
20150126;14;46;2
20150126;15;42.47;2
20150126;16;42.44;2
20150126;17;39.76;2
20150126;18;44.92;2
20150126;19;44.03;2
20150126;20;36.98;2
20150126;21;30.34;2
20150126;22;28.49;2
20150126;23;27.15;2
20150126;24;24.05;2
20150127;1;20.36;3
20150127;2;16.31;3
20150127;3;16.95;3
20150127;4;16.34;3
20150127;5;19.92;3
20150127;6;22.92;3
20150127;7;27.57;3
20150127;8;34.27;3
20150127;9;35.92;3
20150127;10;36.97;3
20150127;11;36.94;3
20150127;12;38.33;3
20150127;13;37.93;3
20150127;14;38.19;3
20150127;15;39.14;3
20150127;16;40.96;3
20150127;17;38.93;3
20150127;18;50.65;3
20150127;19;46.31;3
20150127;20;42.26;3
20150127;21;40;3
20150127;22;35.23;3
20150127;23;30.28;3
20150127;24;27.8;3
20150128;1;26.97;4
20150128;2;26.59;4
20150128;3;25.93;4
20150128;4;25.27;4
20150128;5;25.75;4
20150128;6;25.94;4
20150128;7;34.25;4
20150128;8;44.31;4
20150128;9;42.86;4
20150128;10;33.96;4
20150128;11;33.11;4
20150128;12;29.72;4
20150128;13;27.85;4
20150128;14;27.63;4
20150128;15;27.03;4
20150128;16;26.59;4
20150128;17;27;4
20150128;18;29.95;4
20150128;19;28.62;4
20150128;20;28.01;4
20150128;21;25.47;4
20150128;22;21.69;4
20150128;23;16.96;4
20150128;24;14.9;4
20150129;1;9.98;5
20150129;2;10.74;5
20150129;3;9.21;5
20150129;4;9.37;5
20150129;5;11.84;5
20150129;6;13.37;5
20150129;7;26.2;5
20150129;8;30;5
20150129;9;32.12;5
20150129;10;28.89;5
20150129;11;28.81;5
20150129;12;29.81;5
20150129;13;28.63;5
20150129;14;28.56;5
20150129;15;29.18;5
20150129;16;33.82;5
